# drift-patterns.tsv — fluency-trap regex catalog for Mentl
# Format: mode_num<TAB>mode_name<TAB>regex<TAB>scope<TAB>notes
# scope: ka | all | <comma-separated exts, e.g., ka,lux>
# mode_num 1-9 = CLAUDE.md drift modes; 10+ = bug-classes and keyword drift
# Suppress a single line with a trailing `# drift-audit: ignore` comment.
# Append patterns; do not edit the script.
#
# ROOT: every pattern here is a syntactic tell of ONE violation — THE
# CARRIED-TRUTH LAW (protocol_carried_truth_law.md): the graph proved X; a
# consumer re-derived / discarded / fabricated / cached X instead of reading
# it live. vtable(1), string-keyed(3), parallel-arrays(7), flag-as-int(8) are
# re-derivation tells; the `_ => <fabricated>` row is the fabrication tell.
# This file is the proto-`mentl audit` — the medium's drift detector, inside
# the medium. Post-L1 the patterns become predicates over graph shapes.
#
1	Rust vtable (closure-as-vtable)	\{\s*(fn|handler)_\w+\s*:\s*(fn|\|)	ka	A record of functions named like a vtable is Mentl drawn as Rust. Use graph + handler.
2	Scheme env frame (scope-as-frame-stack)	\b(parent_env|env_stack|push_frame|pop_frame|env_chain)\b	ka	Env lookup is an effect op — the bare call `env_lookup(name)` — no parent-pointer frame walk.
3	Python dict (effect-name-set-as-strings)	perform\s+"[A-Z]	ka	Effect names are EffName ADTs. Raw strings flatten parameterization.	raw
3	Python dict (string-keyed effect match)	"Pure"|"Alloc"|"IO"|"State"|"Console"	ka	Flat effect names. Post-H3.1, EffName is parameterized ADT. These strings signal the old shape.	raw
4	Haskell monad transformer (nested handle chain)	handle\s*\(\s*handle\s*\(\s*handle	ka	Compose with ~> chains, not stacked handle(handle(handle(...))).
5	C calling convention (__closure/__ev separate)	__closure\b.*__ev\b|__ev\b.*__closure\b	ka	Unified __state per H1 substrate. Separate __closure and __ev is the pre-H1 shape.
6	Primitive-type-special-case (Bool carveout)	\b(if|match).*\b(is_bool|bool_special|Bool_ty\b)	ka	Nullary ADTs share compilation discipline. Bool special-casing is drift.
7	Parallel-arrays-instead-of-record (locals/captures pairs)	\b(locals|captures|frames|handlers)\s*,\s*\1_h\b	ka	Frame consolidation (Ω.5): one record + sorted-set, not parallel arrays.
7	Parallel-arrays-instead-of-record (naming tell)	\b\w+_h\b\s*,\s*\w+_h\b	ka	Paired _h arrays surface a record-shape begging to exist.
8	String-keyed-when-structured (int-coded mode)	\bmode\s*==\s*\d	ka	Flag-as-int is an ADT begging to exist. H6 will catch it anyway.
8	String-keyed-when-structured (token kind as int)	\btoken_kind\s*==\s*\d	ka	Tokens are ADTs post-Ω.4.
8	String-keyed-when-structured (SchemeKind as int)	\bscheme_kind\s*==\s*\d	ka	SchemeKind is ADT post-H3.
9	Deferred-by-omission (TODO / for now / later)	//\s*(TODO|FIXME|XXX|for now|until\b|deferred|later\b|short[- ]term)	ka	Land whole or surface as named peer handle. No deferred-in-committed-code.	raw
9	Deferred-by-omission (stub/placeholder tell)	//\s*(placeholder|stub|not\s+implemented)	ka	Same as above — surface as peer handle in ROADMAP.md.	raw
#
# --- Bug classes from CLAUDE.md that have cost hours ---
10	Wildcard-fabricates (_ arm returning Forall)	_\s*=>\s*Forall\s*\(	ka	Wildcard fabricates a Scheme. Enumerate variants explicitly.
10	Wildcard-fabricates (_ arm returning TVar)	_\s*=>\s*TVar\s*\(	ka	Fabricated TVar silently absorbs a new variant.
10	Wildcard-fabricates (_ arm returning "Pure")	_\s*=>\s*"Pure"	ka	String-Pure default. Use EffRow algebra.	raw
13	Failure-mask (|| true)	\|\|\s*true	ka	A bug is zero or blocking. No `|| true` to hide a gate.
14	Decorated-removal (removed-for comments)	//\s*removed\s+(for|because)	ka	Delete, don't decorate. No removal comments.	raw
15	Unused-decoration (leading underscore retain)	\blet\s+_[a-z]\w+\s*=	ka	Unused variables are deleted, not renamed with underscore.
16	println-in-report (corrupts WAT stdout)	report\s*\([^)]*println	ka	println inside report(...) handler arms corrupts WAT stdout.
#
# --- Foreign-language keyword drift (the fluency trap surface) ---
20	Rust keyword drift (impl)	^\s*impl\b|\bimpl\s+\w+\s+for\b	ka	`impl` is Rust. Mentl has handlers on the graph.
20	Rust keyword drift (trait/struct/enum/pub/mod)	^\s*(trait|struct|enum|pub|mod|crate)\s	ka	Rust keywords. ADTs are declared with Mentl's own grammar.
21	Python keyword drift (def/class)	^\s*(def|class)\s+\w+\s*[:(]	ka	`def`/`class` are Python. Functions in Mentl are `fn`, structure is ADT.
21	Python keyword drift (lambda)	\blambda\s+\w+\s*:	ka	Lambda is a Python keyword. Canonical Mentl closure: (params) => body (the `|x|` fence is itself drift — mode 36).
22	Haskell/OCaml drift (do-notation / typeclass)	\bdo\s*\{|\binstance\s+\w+\s+where\b	ka	Do-notation is monad-transformer drift (mode 4). Use ~> chains.
23	C/Go drift (typedef/void/sizeof)	\b(typedef|void|sizeof)\s*\(	ka	C primitives. Mentl has ADTs + refinement types.
24	JS drift (async/await/Promise)	\b(async|await|Promise\b)	ka	Async is an effect in Mentl, handled — not a keyword.
25	OOP drift (new/self/this/super)	\b(new\s+\w+\s*\(|self\.\w|this\.\w|super\.\w)	ka	Mentl has no classes. `new`/`self`/`this` are OOP drift. Anchored to `\w` after the dot to avoid false positives on prose "this."/"self." with sentence breaks.
#
# --- Mentl-native shape violations (residue discipline) ---
30	Imperative-loop-where-verb-exists (for/while)	^\s*(for|while)\s	ka	Loops are rarely the Mentl shape. Use |> transforms or <~ feedback. If truly needed, justify in a comment and suppress.
31	Tuple-return-where-record-fits (multi-arg with _h suffix)	->\s*\([^)]*_h[^)]*,	ka	Anchor 6 + H1.3: if components carry _h suffix, reach for a record.
32	Handler-as-function-argument (plain env param)	\(\s*env\s*:\s*\w+|\bctx\.env\.	ka	Env is effect-mediated — the bare op call `env_lookup(name)` — not a function parameter.
# --- Mode 33: RETIRED (2026-07-30) — absorbed into `mentl audit` ---
# The let-where-pipe read lives in the medium now: the audit verb's
# verb-shape tier (pipe_shape_of, landed 2026-07-29) counts USE EDGES
# through the total child projection — scope-aware single-use analysis,
# honoring the sequenced-effectful and reuse exceptions structurally —
# where this regex could only pattern-match one line and demanded ~80
# hand markers to suppress its blindness. The grep dies; the projection
# is the check.
#
# --- ΣU drift patterns (amendments A-R; SYNTAX.md) ---
36	ΣU drift (lambda fence)	\|[a-z_][a-z_0-9]*\s*\|	ka	Amendment A. Canonical: (params) => body. `|x|` pipe-fence is not Mentl syntax.
36	ΣU drift (lambda fence multi-param)	\|[a-z_][a-z_0-9]*\s*,	ka	Amendment A. `|a, b|` form is drift. Use (a, b) => body.
36	ΣU drift (imperative control keyword)	^[^/]*\b(for|while|loop|break|continue|return)\b	ka	Amendment J. Iteration: |> / <~ / Iterate. Early-exit: Abort effect. (Fires on code lines; comment-only lines excluded by ^[^/]* prefix.)
36	ΣU drift (redundant fn on lambda)	\bfn\s+\(	ka	Amendment R. `fn (x) =>` drift. Canonical: (x) => — `fn` keyword reserved for named declarations only.
36	ΣU drift (resume(()) residue)	\bresume\s*\(\s*\(\s*\)\s*\)	ka	Amendment I. Canonical: resume() — Parameters-ARE-Tuples + No-Redundant-Form.
36	ΣU regression (pub/priv visibility drift)	^\s*(pub|priv)\s+(fn|type|effect|handler|let)\b	ka	Amendment Q. Visibility via capability effects, not modifier keywords.
#
# --- Σ-/// drift (doc-comment doctrine; SYNTAX.md §Comments §Doc comments) ---
37	Σ-/// drift (JSDoc/JavaDoc tag inside ///)	^///.*@(param|returns?|throws?|since|deprecated|author|see|link|inheritdoc)\b	ka	Σ-///. JSDoc/JavaDoc tags forbidden inside ///. Effect row + refinement substrate already carries that information.	raw
37	Σ-/// drift (Sphinx directive inside ///)	^///.*:(func|type|class|param|returns|raises):	ka	Σ-///. Sphinx directives forbidden inside ///. Mentl has no Sphinx; substrate carries the structure.	raw
37	Σ-/// drift (=== header inside ///)	^///.*={3,}	ka	Σ-///. No internal headers inside ///. Declaration name IS the heading.	raw
37	Σ-/// drift (lifecycle vocabulary)	^///.*\b(deprecated|legacy|previously|no longer|migration|backward[- ]compat|removed in)\b	ka	Σ-///. Positive-form discipline (CLAUDE.md global). Doc shows what IS, not what was.	raw
37	Σ-/// drift (subjective-gating prose)	^///.*\b(non-trivial|nontrivial|non-obvious|nonobvious|noteworthy|interesting|advanced|important|may want to|might consider)\b	ka	Σ-///. Subjective-gating language shouldn't appear in substrate-derived voice. Either the tentacle's silence_predicate fires or it doesn't.	raw
37	Σ-/// drift (// ═══ decoration on file)	^//\s*═	ka	Σ-///. // ═══ decorations are flat-file scaffolding. Pattern A: delete. Pattern B: consolidate to /// lede. Pattern C: strip ═══, keep plain // text.	raw
#
# --- Disintermediation drift (mascot-as-command-prefix; F.1) ---
38	Mascot-as-tentacle-prefix (mentl <tentacle> shadowing at-cursor)	\bmentl\s+(trace|why|propose|unlock|verify|topology)\b	all	Per CLAUDE.md sharpened drift 38 + CLI-canonical-vocabulary.md §3.3 (2026-05-07). Project-action verbs (mentl edit/doc/run/test/audit/serve/teach/query/repl/new/compile/check) are CANONICAL — the binary IS named Mentl; subcommand prefix is structural like `git commit` / `cargo build`. Drift fires only on tentacle-named verbs that shadow at-cursor projections (Trace/Why/Propose/Unlock/Verify/Topology). Note: `mentl teach` and `mentl query` are project-action peer transports for terminal users (per EH alias table), NOT drift.
#
# --- Ship-gate drift (agile/scrum vocabulary; project-management drift) ---
39	Ship-gate vocab (N sessions / timebox / pivot)	\b(\d+\s*sessions?|N\s*sessions?|timebox|pivot criterion|ship[- ]gate|sprint goal)\b	all	No temporal budgets. Progress measured in walkthrough-paragraph → substrate mapping clarity. Scope emerges from substrate necessity. (Scope: all files.) drift-audit: ignore (self-reference: this line defines the pattern it matches)
#
# --- Mode 40: SYNTAX-surface dissolutions (SYNTAX.md is the authority) ---
# At-zero ratchets over the wheel read-path: each names a form SYNTAX.md
# dissolved. Out-of-band archaeology (crucibles/, tools/editor samples,
# bootstrap/test repros) may still carry these — the ratchet flags them on
# touch; the wheel (src/ lib/ tests/) is clean.
40	SYNTAX-surface drift (/// dissolved — one comment form)	^///	ka	SYNTAX.md §Comments: the //-vs-/// split is dissolved. One comment form: //. Every comment is graph content attached to the next decl.
40	SYNTAX-surface drift (import rename)	^\s*import\s+.*\s+as\s+	ka	SYNTAX.md §Imports: no `import X as Y`. An alias is a redundant second name for an edge the import already drew; narrow the selective set.
40	SYNTAX-surface drift (:: is not a token)	^[^/]*::	ka	SYNTAX.md §Imports one-separator law: `.` is the one access operator; `/` only at import position. `::` is not a Mentl token.
40	SYNTAX-surface drift (turbofish / angle-bracket generics)	^[^/]*\b[a-z_]\w*<[A-Z]\w*(,\s*[A-Z]\w*)*>\(	ka	SYNTAX.md §Generic type parameters: no turbofish, no angle brackets anywhere. The case rule IS the declaration (lowercase in type position = type param).
40	SYNTAX-surface drift (perform dissolved — bare op call)	^[^/]*\bperform\s+[a-z_]	ka	SYNTAX.md §Invoking effect operations: an effect op is a BARE CALL. `perform` is format-lifted (E_RedundantPerform); the env binding proves op-ness.
40	SYNTAX-surface drift (handle keyword install)	^\s*handle\s*\{|^[^/]*\bhandle\s+\w+\s+with\b	ka	SYNTAX.md §tee: `~>` is the one install verb. The `handle { body } with h` block spelling and the `handle expr with h` inline spelling both format-lift to `(body) ~> h`; state and arms live at the handler DECLARATION.
#
# --- Mode 10 (cont.): empty/zero surrender-fallbacks (fabrication tells) ---
# Comment-guarded (^[^/]*) so a doc example does not false-positive. A GENUINE
# null sentinel is either enumerated per-variant (ty_handle_of) or documented +
# suppressed inline (`// drift-audit: ignore — <why>`); an undocumented one is a
# surrender-fallback to delete/restructure, never wrap.
10	Wildcard-fabricates (_ arm returning "")	^[^/]*_\s*=>\s*""	ka	Empty-string surrender-fallback. Document + suppress a genuine String-null sentinel inline; otherwise delete/restructure — never wrap.	raw
10	Wildcard-fabricates (_ arm returning 0)	^[^/]*_\s*=>\s*0\s*[,}]	ka	Zero-handle surrender-fallback. Enumerate the ADT (ty_handle_of reads the handle live per-variant, 0 only for ground types) — a wildcard 0 masks a missing case.
